,Price,Street,City,Province,Bed,Bath,sqft
653,499900,1716-5 Greystone Walk Drive,Toronto,ON,1 bed,1 bath,600-699 sqft
654,2399000,50 Kilgour Road,Toronto,ON,3+1 bed,4 bath,2000-2249 sqft
655,1099900,705-3 Concorde Place,Toronto,ON,2+1 bed,3 bath,2250-2499 sqft
656,489000,823-1600 Keele Street,Toronto,ON,1 bed,1 bath,0-499 sqft
657,799900,1616-1 Rowntree Road,Toronto,ON,1+1 bed,2 bath,1200-1399 sqft
658,698000,7-2550 Birchmount Road,Toronto,ON,3 bed,2 bath,1000-1199 sqft
659,579900,316-215 Fort York Boulevard,Toronto,ON,1 bed,1 bath,500-599 sqft
660,869000,PH9-880 Grandview Way,Toronto,ON,2 bed,2 bath,900-999 sqft
661,699800,206-169 Fort York Boulevard,Toronto,ON,1+1 bed,1 bath,700-799 sqft
662,849900,205-55 Carscadden Drive,Toronto,ON,3 bed,3 bath,1600-1799 sqft
663,599900,511-16 Harrison Garden Boulevard,Toronto,ON,1 bed,1 bath,500-599 sqft
664,1000000,3702-117 Mcmahon Drive,Toronto,ON,3 bed,2 bath,1000-1199 sqft
665,579888,1113-31 Tippett Road,Toronto,ON,1+1 bed,1 bath,500-599 sqft
666,949000,24 Tucker Street,Toronto,ON,3+1 bed,3 bath,2000-2500 sqft
667,1688000,38 Bathford Crescent,Toronto,ON,3+2 bed,2 bath,
668,1198000,149-25 Viking Lane,Toronto,ON,2+1 bed,3 bath,1200-1399 sqft
669,799000,313-761 Bay Street,Toronto,ON,1 bed,2 bath,700-799 sqft
670,899000,94 Lake Crescent,Toronto,ON,2 bed,1 bath,
671,1199000,166 Brycemoor Road,Toronto,ON,3+1 bed,2 bath,
672,1049000,95 Mintwood Drive,Toronto,ON,3+1 bed,2 bath,
673,799900,9 Bayliss Avenue,Toronto,ON,2+1 bed,2 bath,
674,629000,306-80 Western Battery Road,Toronto,ON,1+1 bed,1 bath,600-699 sqft
675,609000,2206-38 Dan Leckie Way,Toronto,ON,1 bed,1 bath,500-599 sqft
676,599900,417-120 Dallimore Circle,Toronto,ON,1 bed,1 bath,500-599 sqft
677,799900,1001-15 Singer Court,Toronto,ON,3+1 bed,3 bath,1200-1399 sqft
678,3228800,483 Ontario Street,Toronto,ON,4 bed,3 bath,
679,399000,204-825 Kennedy Road,Toronto,ON,2 bed,1 bath,800-899 sqft
680,699000,403-980 Broadview Avenue,Toronto,ON,2 bed,2 bath,1000-1199 sqft
681,1599000,167 Franklin Avenue,Toronto,ON,3 bed,2 bath,
682,799000,727-55 Ann O'reilly Road,Toronto,ON,2+1 bed,2 bath,700-799 sqft
683,2500000,357 Markham Street,Toronto,ON,5+2 bed,3 bath,3000-3500 sqft
684,1898000,21 Roseland Drive,Toronto,ON,5+2 bed,3 bath,
685,729900,3803-101 Peter Street,Toronto,ON,1+1 bed,1 bath,600-699 sqft
686,999900,1078 Dupont Street,Toronto,ON,3 bed,2 bath,
687,690000,3502-125 Village Green Square,Toronto,ON,1+1 bed,1 bath,700-799 sqft
688,1299000,64 Kelsonia Avenue,Toronto,ON,3+2 bed,3 bath,1500-2000 sqft
689,629800,202-10 Navy Wharf Court,Toronto,ON,1+1 bed,1 bath,600-699 sqft
690,1249000,2 Saywell Avenue,Toronto,ON,6+1 bed,5 bath,2000-2500 sqft
691,1398888,996 Greenwood Avenue,Toronto,ON,3 bed,2 bath,
692,649000,2324-5233 Dundas Street W,Toronto,ON,1+1 bed,1 bath,800-899 sqft
693,899990,310-1630 Queen Street E,Toronto,ON,2 bed,2 bath,800-899 sqft
694,999000,67 Falstaff Avenue,Toronto,ON,3 bed,2 bath,
695,1098000,66 Dunsfold Drive,Toronto,ON,3+2 bed,2 bath,
696,1099000,11 Ventnor Avenue,Toronto,ON,5 bed,3 bath,1500-2000 sqft
697,649900,106-625 Queen Street E,Toronto,ON,1+1 bed,1 bath,700-799 sqft
698,899000,2710-88 Harbour Street,Toronto,ON,3 bed,2 bath,700-799 sqft
699,1299999,1110-168 Simcoe Street,Toronto,ON,2+1 bed,2 bath,1200-1399 sqft
700,850000,75 Gaiety Drive,Toronto,ON,3 bed,1 bath,
701,549900,1805-5 Massey Square E,Toronto,ON,2 bed,1 bath,1000-1199 sqft
702,499000,742-8 Hillsdale Avenue E,Toronto,ON,1 bed,1 bath,0-499 sqft
703,1350000,24 Hood Crescent,Toronto,ON,3+1 bed,3 bath,1500-2000 sqft
704,649000,308-25 Strangford Lane,Toronto,ON,2 bed,2 bath,900-999 sqft
705,799000,517-39 Annie Craig Drive,Toronto,ON,2+1 bed,2 bath,700-799 sqft
706,879900,5007-1 Yorkville Avenue,Toronto,ON,1+1 bed,1 bath,500-599 sqft
707,2500000,56 Marion Street,Toronto,ON,5+2 bed,4 bath,2000-2500 sqft
708,499999,124-120 Dallimore Circle,Toronto,ON,1 bed,1 bath,500-599 sqft
709,899000,4605-115 Blue Jays Way,Toronto,ON,2 bed,2 bath,700-799 sqft
710,669000,119-50 George Butchart Drive,Toronto,ON,2 bed,2 bath,700-799 sqft
711,1488000,88 Stanley Terrace,Toronto,ON,4+1 bed,5 bath,
712,1299800,327 Woodsworth Road,Toronto,ON,3+1 bed,2 bath,
713,1999999,72 Lake Promenade ,Toronto,ON,1+2 bed,2 bath,
714,688800,1607-120 Harrison Garden Boulevard,Toronto,ON,1+1 bed,1 bath,600-699 sqft
715,1230000,45 Pilkington Drive,Toronto,ON,4 bed,5 bath,2000-2500 sqft
716,2499900,786 Euclid Avenue,Toronto,ON,4+1 bed,2 bath,
717,549999,506-3380 Eglinton Avenue E,Toronto,ON,2 bed,2 bath,1000-1199 sqft
718,679900,419-251 Manitoba Street,Toronto,ON,1+1 bed,1 bath,500-599 sqft
719,699000,210-80 Vanauley Street,Toronto,ON,1+1 bed,2 bath,600-699 sqft
720,664990,516-60 George Butchard Drive,Toronto,ON,1+1 bed,1 bath,600-699 sqft
721,559000,1410-88 Corporate Drive,Toronto,ON,1+1 bed,1 bath,700-799 sqft
722,499000,1204-20 Joe Shuster Way,Toronto,ON,2 bed,1 bath,500-599 sqft
723,649000,373 Front Street,Toronto,ON,1 bed,1 bath,624 sqft
724,1699000,110 Holcolm Road,Toronto,ON,4+2 bed,5 bath,
725,679000,801-1 Shaw Street,Toronto,ON,1+1 bed,1 bath,700-799 sqft
726,649000,515-30 Meadowglen Place,Toronto,ON,2 bed,2 bath,600-699 sqft
727,728800,1805-80 John Street,Toronto,ON,1 bed,1 bath,600-699 sqft
728,728000,1704-42 Charles Street,Toronto,ON,1 bed,1 bath,500-599 sqft
729,1699000,106 Concord Avenue,Toronto,ON,4+2 bed,3 bath,
730,699999,124-2 Hedge End Road,Toronto,ON,3 bed,2 bath,1000-1199 sqft
731,599900,1406-219 Fort York Boulevard,Toronto,ON,1 bed,1 bath,600-699 sqft
732,649000,2702-373 Front Street,Toronto,ON,1 bed,1 bath,600-699 sqft
733,759000,807W-225 Sumach Street,Toronto,ON,1+1 bed,1 bath,600-699 sqft
734,899000,602-5 St Joseph Street,Toronto,ON,1+1 bed,2 bath,700-799 sqft
735,999000,231 Hallmark Avenue,Toronto,ON,3+2 bed,2 bath,700-1100 sqft
736,1847800,19 Otonabee Avenue,Toronto,ON,3+4 bed,5 bath,
737,1088000,111 James Gray Drive,Toronto,ON,3+1 bed,3 bath,
738,699900,804-21 Carlton Street,Toronto,ON,1+1 bed,1 bath,600-699 sqft
739,1099900,17 Millennium Drive,Toronto,ON,3 bed,4 bath,
740,899000,98 Woodfern Drive,Toronto,ON,3+1 bed,2 bath,
741,1039000,269 Oakwood Avenue,Toronto,ON,3+1 bed,2 bath,
742,650000,1123-251 Manitoba Street,Toronto,ON,1 bed,1 bath,500-599 sqft
743,499000,114-1 Shaw Street,Toronto,ON,1 bed,1 bath,500-599 sqft
744,3590000,5302-311 Bay Street,Toronto,ON,2 bed,3 bath,2250-2499 sqft
745,699000,370-3 Everson Drive,Toronto,ON,2+1 bed,2 bath,1000-1199 sqft
746,899000,1792 Keele Street,Toronto,ON,2+2 bed,2 bath,
747,805000,52-1359 Neilson Road,Toronto,ON,3 bed,3 bath,1000-1199 sqft
748,498800,206-5793 Yonge Street,Toronto,ON,1 bed,1 bath,500-599 sqft
749,1799000,569 Brimley Road,Toronto,ON,3+4 bed,3 bath,
750,1580000,52 Wigmore Drive,Toronto,ON,3+1 bed,2 bath,
751,1289000,66 Cannon Road,Toronto,ON,3 bed,2 bath,
752,599000,2003-403 Church Street,Toronto,ON,1 bed,1 bath,0-499 sqft
753,699900,410-318 Richmond Street W,Toronto,ON,1+1 bed,1 bath,700-799 sqft
754,1198900,14 Innes Avenue,Toronto,ON,2+2 bed,4 bath,
755,649999,1509-88 Park Lawn Road,Toronto,ON,1+1 bed,1 bath,600-699 sqft
756,579999,609-50 George Butchard Street,Toronto,ON,1 bed,1 bath,500-599 sqft
757,550000,507-3655 Kingston Road,Toronto,ON,1 bed,1 bath,500-599 sqft
758,899900,906-45 Carlton Street,Toronto,ON,2 bed,2 bath,1200-1399 sqft
759,839000,1404-10 York Street,Toronto,ON,1+1 bed,1 bath,600-699 sqft
760,2880000,144 Banff Road,Toronto,ON,3 bed,4 bath,
761,674999,1211-36 Lee Centre Drive,Toronto,ON,2 bed,1 bath,600-699 sqft
762,699000,4601-88 Harbour Street,Toronto,ON,1 bed,1 bath,500-599 sqft
763,539000,105-39 Pemberton Avenue,Toronto,ON,1 bed,1 bath,600-699 sqft
764,789000,1504-88 Blue Jays Way,Toronto,ON,1+1 bed,1 bath,600-699 sqft
765,869900,609-38 Grenville Street,Toronto,ON,2 bed,2 bath,700-799 sqft
766,649900,100-78 St. Patrick Street,Toronto,ON,1+1 bed,1 bath,1000-1199 sqft
767,669000,511-160 Baldwin Street,Toronto,ON,1 bed,1 bath,700-799 sqft
768,649000,710-3 Rean Drive,Toronto,ON,1+1 bed,2 bath,600-699 sqft
769,1199900,60 Samba Drive,Toronto,ON,2+2 bed,2 bath,
770,599999,4405-2221 Yonge Street,Toronto,ON,1+1 bed,1 bath,600-699 sqft
771,698000,711-18 Merton Street,Toronto,ON,1+1 bed,2 bath,600-699 sqft
772,772000,3307-125 Blue Jays Way,Toronto,ON,1 bed,1 bath,500-599 sqft
773,1299000,4004-16 Bonnycastle Street,Toronto,ON,2+1 bed,3 bath,1200-1399 sqft
774,696000,528-20 Bruyeres Mews,Toronto,ON,1+1 bed,1 bath,600-699 sqft
775,699900,3477 Dundas Street W,Toronto,ON,2 bed,1 bath,
776,1249900,109 Bowie Avenue,Toronto,ON,2+1 bed,2 bath,
777,988000,212 Mcintosh Street,Toronto,ON,3+1 bed,2 bath,
778,988800,571 Morrish Road,Toronto,ON,3+3 bed,2 bath,
779,619900,608-17 Zorra Street,Toronto,ON,1+1 bed,2 bath,600-699 sqft
780,849000,86-9 Windermere Avenue,Toronto,ON,2 bed,2 bath,1200-1399 sqft
781,399900,802-320 Dixon Road,Toronto,ON,2 bed,1 bath,900-999 sqft
782,1999999,43 Rusholme Park Crescent,Toronto,ON,6+2 bed,3 bath,
783,1395000,1045 Davenport Road,Toronto,ON,3+1 bed,2 bath,
784,759900,2313-251 Jarvis Street,Toronto,ON,2 bed,1 bath,500-599 sqft
785,549000,303-199 Richmond Street W,Toronto,ON,1 bed,1 bath,500-599 sqft
786,589000,69 Lynn Williams Street,Toronto,ON,1 bed,1 bath,596 sqft
787,2790000,301 Rhodes Avenue,Toronto,ON,6+1 bed,4 bath,2000-2500 sqft
788,1199000,47 Greyhound Drive,Toronto,ON,6+2 bed,2 bath,
789,749900,275-1603 Albion Road,Toronto,ON,3+1 bed,2 bath,1200-1399 sqft
790,500000,1107-1360 York Mills Road,Toronto,ON,2 bed,1 bath,800-899 sqft
791,4998000,1002W-480 Queens Quay W,Toronto,ON,3 bed,4 bath,4750-4999 sqft
792,739900,102-100 Parrotta Drive,Toronto,ON,2 bed,2 bath,1000-1199 sqft
793,1199000,75 Manhattan Drive,Toronto,ON,3+3 bed,5 bath,
794,6750000,13 Hillholm Road,Toronto,ON,5+1 bed,5 bath,3500-5000 sqft
795,749000,2403-1320 Islington Avenue,Toronto,ON,2 bed,2 bath,1000-1199 sqft
796,695000,1209-18 Hillcrest Avenue,Toronto,ON,2 bed,2 bath,800-899 sqft
797,1900000,211-280 Howland Avenue,Toronto,ON,2+1 bed,3 bath,1400-1599 sqft
798,599000,325-50 Ann O'reilly Road,Toronto,ON,1+1 bed,1 bath,600-699 sqft
799,1599000,184 Hendon Avenue,Toronto,ON,3+1 bed,2 bath,
800,599800,1003-1060 Sheppard Avenue W,Toronto,ON,1 bed,1 bath,500-599 sqft
801,499000,708-38 Monte Kwinter Court,Toronto,ON,2 bed,1 bath,500-599 sqft
802,599000,PH5506-42 Charles Street E,Toronto,ON,1 bed,1 bath,0-499 sqft
803,1479800,270 Westmoreland Avenue,Toronto,ON,3 bed,3 bath,2000-2500 sqft
804,1088000,60 Wishing Well Drive,Toronto,ON,3+2 bed,2 bath,
805,899900,22 Hurley Crescent,Toronto,ON,3+1 bed,2 bath,
806,6999000,19 Viamede Crescent,Toronto,ON,4+1 bed,7 bath,
807,1488000,38 Ridgevale Drive,Toronto,ON,4 bed,2 bath,
808,475000,1406-234 Albion Road,Toronto,ON,2+1 bed,1 bath,1000-1199 sqft
809,799900,41-20 Carnation Avenue,Toronto,ON,2 bed,3 bath,1000-1199 sqft
810,1199900,2405-65 Skymark Drive,Toronto,ON,2+2 bed,3 bath,2000-2249 sqft
811,589000,807-69 Lynn Williams Street,Toronto,ON,1 bed,1 bath,500-599 sqft
812,899900,237 Dunraven Drive,Toronto,ON,2+1 bed,2 bath,
813,1200000,37 Orpington Crescent,Toronto,ON,3+2 bed,3 bath,
814,1529000,106 Mount Olive Drive,Toronto,ON,4+1 bed,3 bath,
815,1488800,68 Winnifred Avenue,Toronto,ON,3+1 bed,2 bath,
816,899999,9 Jacob Fisher Drive,Toronto,ON,3+2 bed,4 bath,
817,769000,4902-70 Annie Craig Drive,Toronto,ON,1+1 bed,2 bath,600-699 sqft
818,749000,1205-299 Mill Road,Toronto,ON,3 bed,2 bath,1200-1399 sqft
819,879900,909-65 Scadding Avenue,Toronto,ON,2+1 bed,2 bath,1000-1199 sqft
820,999000,128 Kitchener Road,Toronto,ON,4+2 bed,2 bath,5000+ sqft
821,1999900,156 Almore Avenue,Toronto,ON,3+1 bed,2 bath,
822,810880,701-3220 Sheppard Avenue E,Toronto,ON,2 bed,4 bath,800-899 sqft
823,679000,303-21 Nelson Street,Toronto,ON,2 bed,2 bath,700-799 sqft
824,1188000,4707-25 Telegram Mews,Toronto,ON,2+1 bed,2 bath,1000-1199 sqft
825,1999900,158 Almore Avenue,Toronto,ON,2 bed,2 bath,
826,599000,85 East Liberty Street,Toronto,ON,1 bed,1 bath,571 sqft
827,499000,211-385 Osler Street,Toronto,ON,1 bed,1 bath,500-599 sqft
828,699000,1304-125 Village Green Square,Toronto,ON,2 bed,2 bath,800-899 sqft
829,799000,4804-10 York Street,Toronto,ON,1+1 bed,1 bath,600-699 sqft
830,998000,1602-25 The Esplanade ,Toronto,ON,3 bed,2 bath,1400-1599 sqft
831,999000,918 Glencairn Avenue,Toronto,ON,3+1 bed,2 bath,
832,1953000,59 Homewood Avenue,Toronto,ON,6+2 bed,3 bath,3000-3500 sqft
833,2199000,22 Trudy Road,Toronto,ON,4+4 bed,4 bath,
834,549000,1210-1420 Dupont Street,Toronto,ON,2 bed,1 bath,500-599 sqft
835,499900,905-121 Trudelle Street,Toronto,ON,2 bed,2 bath,1000-1199 sqft
836,699900,1607-3220 Sheppard Avenue E,Toronto,ON,1+1 bed,1 bath,600-699 sqft
837,899900,60 Ianhall Road,Toronto,ON,3+1 bed,2 bath,
838,1490900,386 Coxwell Avenue,Toronto,ON,3+1 bed,4 bath,
839,2380000,5 Greenyards Drive,Toronto,ON,3 bed,3 bath,
840,730000,215-20 Southport Street,Toronto,ON,2 bed,2 bath,900-999 sqft
841,808000,2505-12 Yonge Street,Toronto,ON,2 bed,2 bath,700-799 sqft
842,1400000,172 Pearson Avenue,Toronto,ON,5 bed,2 bath,1500-2000 sqft
843,1098000,17 Fordover Drive,Toronto,ON,3 bed,2 bath,
844,688000,703-45 Huntingdale Boulevard,Toronto,ON,2+1 bed,2 bath,1400-1599 sqft
845,678000,4005-12 York Street,Toronto,ON,1+1 bed,1 bath,500-599 sqft
846,1199999,86 Meandering Trail,Toronto,ON,3+2 bed,4 bath,
847,24500000,45 Bayview Ridge Ridge,Toronto,ON,6+2 bed,10 bath,5000+ sqft
848,799900,815-2799 Kingston Road,Toronto,ON,2 bed,2 bath,800-899 sqft
849,639000,231-8855 Sheppard Avenue,Toronto,ON,2+1 bed,2 bath,900-999 sqft
850,699900,114-60 Mendelssohn Street,Toronto,ON,2 bed,2 bath,800-899 sqft
851,1169900,199 Shawnee Circle,Toronto,ON,3+2 bed,2 bath,1500-2000 sqft
852,699000,510-18 Yorkville Avenue,Toronto,ON,1+1 bed,1 bath,600-699 sqft
853,950000,3 Barrhead Crescent,Toronto,ON,3 bed,2 bath,
854,699900,1005-205 Sherway Gardens Road,Toronto,ON,2 bed,2 bath,800-899 sqft
855,1299000,60 Glen Davis Crescent,Toronto,ON,3 bed,2 bath,
856,549900,1105-170 Fort York Boulevard,Toronto,ON,1 bed,1 bath,500-599 sqft
857,1249900,45 Roslin Avenue,Toronto,ON,3 bed,2 bath,
858,699000,1102-5793 Yonge Street,Toronto,ON,2 bed,2 bath,800-899 sqft
859,1288000,25 Morgandale Crescent,Toronto,ON,4+1 bed,3 bath,2500-3000 sqft
860,599000,504-61 Markbrook Lane,Toronto,ON,2+1 bed,2 bath,1000-1199 sqft
861,1129000,5002-832 Bay Street,Toronto,ON,2+1 bed,2 bath,700-799 sqft
862,999999,502-85 Skymark Drive,Toronto,ON,2 bed,2 bath,1400-1599 sqft
863,995000,61 Rotary Drive,Toronto,ON,4+2 bed,4 bath,
864,749900,2203-80 Western Battery Road,Toronto,ON,2 bed,1 bath,700-799 sqft
865,899000,127 Hawkshead Crescent,Toronto,ON,3 bed,3 bath,
866,1138800,81 Billington Crescent,Toronto,ON,4+1 bed,3 bath,
867,649000,1906-225 Sherway Gardens Road,Toronto,ON,2 bed,1 bath,600-699 sqft
868,1899000,39 Sugarbush Square,Toronto,ON,4 bed,5 bath,3000-3500 sqft
869,2895000,278 Elmwood Avenue,Toronto,ON,5+2 bed,6 bath,3000-3500 sqft
870,449900,319-3560 St Clair Avenue E,Toronto,ON,1+1 bed,1 bath,600-699 sqft
871,399000,1811-161 Roehampton Avenue,Toronto,ON,– bed,1 bath,0-499 sqft
872,799000,434-461 Adelaide Street W,Toronto,ON,2 bed,1 bath,800-899 sqft
873,1199000,1781 Victoria Park Avenue,Toronto,ON,5+1 bed,5 bath,
874,2080000,90 Tillplain Road,Toronto,ON,2 bed,1 bath,
875,999999,113 Murison Boulevard,Toronto,ON,3+2 bed,4 bath,
876,2650000,389 Rathburn Road,Toronto,ON,4+1 bed,6 bath,
877,649000,PH31-38 Grand Magazine Street,Toronto,ON,1 bed,1 bath,500-599 sqft
878,649000,G10-350 Wellington Street W,Toronto,ON,1 bed,1 bath,500-599 sqft
879,2199000,57 Anndale Drive,Toronto,ON,3+1 bed,3 bath,
880,690000,906-5 St Joseph Street,Toronto,ON,1 bed,1 bath,500-599 sqft
881,1399900,3 Kingsgate Crescent,Toronto,ON,3+1 bed,3 bath,
882,694800,1808-225 Sumach Street,Toronto,ON,1+1 bed,1 bath,700-799 sqft
883,740000,383 Coxwell Avenue,Toronto,ON,3+1 bed,2 bath,
884,499900,613-318 King Street E,Toronto,ON,1 bed,1 bath,0-499 sqft
885,1299000,45 Marcella Street,Toronto,ON,3+4 bed,4 bath,
886,599000,905-380 Dixon Road,Toronto,ON,2 bed,1 bath,900-999 sqft
887,649000,301-50 Gulliver Road S,Toronto,ON,3 bed,1 bath,1200-1399 sqft
888,899999,1022-830 Lawrence Avenue W,Toronto,ON,3+1 bed,3 bath,1000-1199 sqft
889,499800,304-10 Tapscott Road,Toronto,ON,1 bed,1 bath,600-699 sqft
890,1698000,PH3002-32 Davenport Road,Toronto,ON,2+1 bed,2 bath,1000-1199 sqft
891,2095000,84 Woburn Avenue,Toronto,ON,3+1 bed,3 bath,
892,825000,511-3237 Bayview Avenue,Toronto,ON,2+1 bed,2 bath,800-899 sqft
893,699999,527-560 King Street W,Toronto,ON,1 bed,1 bath,700-799 sqft
894,1049000,2408-159 Wellesley Street E,Toronto,ON,3 bed,2 bath,800-899 sqft
895,999000,25 Hughey Crescent,Toronto,ON,3+1 bed,2 bath,
896,559000,2827-2 Eva Road,Toronto,ON,1 bed,1 bath,600-699 sqft
897,589000,2-200 Mclevin Avenue,Toronto,ON,2 bed,1 bath,900-999 sqft
898,75000,77 Shuter Street,Toronto,ON,– bed,– bath,
899,729000,LP09-320 Richmond Street E,Toronto,ON,1+1 bed,2 bath,700-799 sqft
900,1088000,PH205-75 Canterbury Place,Toronto,ON,2 bed,2 bath,900-999 sqft
901,750000,220-5 Marine Parade Drive,Toronto,ON,2 bed,2 bath,800-899 sqft
902,2599999,78 Government Road,Toronto,ON,4+1 bed,4 bath,2000-2500 sqft
903,684900,441-33 Mill Street,Toronto,ON,1 bed,1 bath,500-599 sqft
904,1088800,4904-33 Bay Street,Toronto,ON,2 bed,2 bath,800-899 sqft
905,999000,5 Century Drive,Toronto,ON,5+2 bed,4 bath,3000-3500 sqft
906,949000,65 Gorsey Square,Toronto,ON,3+2 bed,2 bath,
907,799000,1227-22 Laidlaw Street,Toronto,ON,2+1 bed,2 bath,1000-1199 sqft
908,549900,3206-125 Village Green Square,Toronto,ON,1+1 bed,1 bath,600-699 sqft
909,808000,935-525 Adelaide Street,Toronto,ON,1+1 bed,1 bath,600-699 sqft
910,729000,409-3560 St Clair Avenue,Toronto,ON,2 bed,1 bath,800-899 sqft
911,1620000,103-120 Parliament Street,Toronto,ON,4 bed,3 bath,1200-1399 sqft
912,2050,312-1030 King Street,Toronto,ON,1 bed,1 bath,501 to 1000 sqft
913,979900,3602-33 Shore Breeze Drive W,Toronto,ON,1+1 bed,1 bath,800-899 sqft
914,430000,415-19 Avondale Avenue,Toronto,ON,– bed,1 bath,0-499 sqft
915,90000,101 Hammersmith Avenue,Toronto,ON,– bed,– bath,0-499 sqft
916,539000,404-251 Jarvis Street,Toronto,ON,1 bed,1 bath,0-499 sqft
917,899000,1215-75 East Liberty Street,Toronto,ON,2+1 bed,2 bath,800-899 sqft
918,1100000,8 Fern Avenue,Toronto,ON,4 bed,2 bath,
919,849900,TH14-10 Brin Drive,Toronto,ON,3 bed,2 bath,800-899 sqft
920,1895000,167 Major Street,Toronto,ON,3 bed,2 bath,1500-2000 sqft
921,599900,506-80 Esther Lorrie Drive,Toronto,ON,2 bed,2 bath,800-899 sqft
922,799000,509-2221 Yonge Street,Toronto,ON,3 bed,2 bath,900-999 sqft
923,1175000,PH1806E-576 Front Street W,Toronto,ON,3 bed,2 bath,900-999 sqft
924,599900,#1008-120 Harrison Garden Boulevard S,Toronto,ON,1+1 bed,1 bath,600-699 sqft
925,1349000,5 Stanland Drive,Toronto,ON,3+2 bed,3 bath,2500-3000 sqft
926,1499000,221 Pitfield Road,Toronto,ON,3+2 bed,3 bath,
927,1599000,5 Augustus Terrace,Toronto,ON,3+1 bed,4 bath,2000-2249 sqft
928,918800,323-2100 Bridletowne Circle,Toronto,ON,3 bed,2 bath,1200-1399 sqft
929,900000,1832 Dufferin Street,Toronto,ON,3+1 bed,3 bath,
930,689000,1316-60 Heintzman Street,Toronto,ON,2 bed,1 bath,700-799 sqft
931,1995000,203-68 Yorkville Avenue,Toronto,ON,2+1 bed,2 bath,1400-1599 sqft
932,997000,PH#804-800 King Street W,Toronto,ON,2 bed,2 bath,1000-1199 sqft
933,2500000,180 Beatrice Street,Toronto,ON,5 bed,2 bath,
934,3288000,243 Betty Ann Drive,Toronto,ON,4+3 bed,5 bath,
935,999000,2202-390 Cherry Street,Toronto,ON,2 bed,2 bath,800-899 sqft
936,999900,20 Lamella Road,Toronto,ON,3 bed,2 bath,
937,587000,810-46 Western Battery Road,Toronto,ON,1 bed,1 bath,0-499 sqft
938,1099999,27 Netherly Drive,Toronto,ON,3+2 bed,3 bath,1100-1500 sqft
939,599000,1124-525 Adelaide Street W,Toronto,ON,1 bed,1 bath,500-599 sqft
940,3599888,425 Elm Road,Toronto,ON,4+1 bed,5 bath,3000-3500 sqft
941,499000,601-1665 Victoria Park Avenue,Toronto,ON,3 bed,2 bath,1000-1199 sqft
942,799000,515-188 Doris Avenue,Toronto,ON,2 bed,2 bath,1000-1199 sqft
943,688000,1205-3237 Bayview Avenue,Toronto,ON,2 bed,2 bath,700-799 sqft
944,1250000,89 Fordwich Crescent,Toronto,ON,3+1 bed,3 bath,
945,698800,905-65 Harbour Square,Toronto,ON,1 bed,1 bath,700-799 sqft
946,599900,205-3 Mcalpine Street,Toronto,ON,1+1 bed,1 bath,700-799 sqft
947,4680000,22 Sherwood Avenue,Toronto,ON,3+1 bed,5 bath,
948,549000,409-7 Michael Power Place,Toronto,ON,1 bed,1 bath,500-599 sqft
949,1199000,54 Cassis Drive,Toronto,ON,3+1 bed,3 bath,
950,1398000,58 Palmerston Avenue,Toronto,ON,3 bed,2 bath,1500-2000 sqft
951,699000,520-701 Sheppard Avenue W,Toronto,ON,2 bed,2 bath,800-899 sqft
952,1168000,138 Hatherley Road,Toronto,ON,3 bed,2 bath,
953,1599000,30-80 Daisy Avenue,Toronto,ON,3+1 bed,3 bath,1500-2000 sqft
954,1588000,184 Goulding Avenue,Toronto,ON,4+2 bed,3 bath,
955,4380000,50 Yorkminster Road,Toronto,ON,5+2 bed,8 bath,3500-5000 sqft
956,975000,2509-125 Peter Street,Toronto,ON,2 bed,1 bath,600-699 sqft
957,1599000,30 Fulwell Crescent,Toronto,ON,3+2 bed,3 bath,1500-2000 sqft
958,1795900,319 Crawford Street,Toronto,ON,5+1 bed,3 bath,
959,725000,2807-5 Soudan Avenue,Toronto,ON,2 bed,2 bath,700-799 sqft
960,4349000,71 Chatsworth Drive,Toronto,ON,4+1 bed,4 bath,2500-3000 sqft
961,888000,2201-2200 Lake Shore Boulevard W,Toronto,ON,2 bed,2 bath,800-899 sqft
962,899900,GV09-38 Cameron Street,Toronto,ON,2 bed,2 bath,800-899 sqft
963,579900,3112-155 Yorkville Avenue,Toronto,ON,– bed,1 bath,0-499 sqft
964,680000,632-73 Mccaul Street,Toronto,ON,2 bed,1 bath,800-899 sqft
965,1288000,585 Oxford Street,Toronto,ON,3+1 bed,3 bath,
966,998000,24 Exbury Road,Toronto,ON,3+1 bed,2 bath,
967,1399999,177 Tower Drive,Toronto,ON,3+3 bed,3 bath,
968,997900,118-326 Carlaw Avenue,Toronto,ON,1 bed,1 bath,800-899 sqft
969,799000,1702-125 Blue Jays Way,Toronto,ON,2+1 bed,2 bath,700-799 sqft
970,879000,520-5 Rosehill Avenue,Toronto,ON,2 bed,2 bath,900-999 sqft
971,729900,512-16 Yonge Street,Toronto,ON,1 bed,1 bath,600-699 sqft
972,999000,50 Cobbler Crescent,Toronto,ON,4 bed,2 bath,
973,3998800,152 Haddington Avenue,Toronto,ON,4+1 bed,7 bath,
974,429000,1412-238 Albion Road,Toronto,ON,2 bed,1 bath,1000-1199 sqft
975,999000,427-90 Stadium Road,Toronto,ON,2 bed,1 bath,800-899 sqft
976,1590000,203-70 Montclair Avenue W,Toronto,ON,3+1 bed,2 bath,1600-1799 sqft
977,999990,910-75 The Esplanade ,Toronto,ON,2+1 bed,2 bath,800-899 sqft
978,699000,710-5180 Yonge Street,Toronto,ON,1+1 bed,1 bath,500-599 sqft
